environment,m_kg,T_s,gamma_decoh_per_s,unitary_peak_C,realistic_peak_C,discriminating
frozen_lab_nm,1.000e-16,10,6.257e-06,8.6981e-01,8.6969e-01,1
frozen_lab_nm,1.000e-16,100,6.257e-06,9.9993e-01,9.9975e-01,1
frozen_lab_nm,1.000e-16,1e+03,6.257e-06,9.9995e-01,9.9122e-01,1
frozen_lab_nm,3.162e-16,0.1,6.257e-06,1.0529e-01,1.0529e-01,1
frozen_lab_nm,3.162e-16,1,6.257e-06,8.6981e-01,8.6980e-01,1
frozen_lab_nm,3.162e-16,10,6.257e-06,9.9993e-01,9.9992e-01,1
frozen_lab_nm,3.162e-16,100,6.257e-06,9.9995e-01,9.9907e-01,1
frozen_lab_nm,3.162e-16,1e+03,6.257e-06,9.9876e-01,9.9439e-01,1
frozen_lab_nm,1.000e-15,0.1,6.257e-06,8.6981e-01,8.6981e-01,1
frozen_lab_nm,1.000e-15,1,6.257e-06,9.9993e-01,9.9993e-01,1
frozen_lab_nm,1.000e-15,10,6.257e-06,9.9995e-01,9.9986e-01,1
frozen_lab_nm,1.000e-15,100,6.257e-06,9.9876e-01,9.9832e-01,1
frozen_lab_nm,1.000e-15,1e+03,6.257e-06,9.9818e-01,9.9568e-01,1
frozen_lab_nm,3.162e-15,0.1,6.257e-06,9.9993e-01,9.9993e-01,1
frozen_lab_nm,3.162e-15,1,6.257e-06,9.9995e-01,9.9994e-01,1
frozen_lab_nm,3.162e-15,10,6.257e-06,9.9876e-01,9.9872e-01,1
frozen_lab_nm,3.162e-15,100,6.257e-06,9.9818e-01,9.9793e-01,1
frozen_lab_nm,3.162e-15,1e+03,6.257e-06,9.7854e-01,9.6806e-01,1
frozen_lab_nm,1.000e-14,0.1,6.257e-06,9.9995e-01,9.9995e-01,1
frozen_lab_nm,1.000e-14,1,6.257e-06,9.9876e-01,9.9875e-01,1
frozen_lab_nm,1.000e-14,10,6.257e-06,9.9818e-01,9.9816e-01,1
frozen_lab_nm,1.000e-14,100,6.257e-06,9.7854e-01,9.7749e-01,1
frozen_lab_nm,1.000e-14,1e+03,6.257e-06,9.5034e-01,9.3819e-01,1
frozen_lab_nm,3.162e-14,0.1,6.257e-06,9.9876e-01,9.9876e-01,1
frozen_lab_nm,3.162e-14,1,6.257e-06,9.9818e-01,9.9818e-01,1
frozen_lab_nm,3.162e-14,10,6.257e-06,9.7854e-01,9.7844e-01,1
frozen_lab_nm,3.162e-14,100,6.257e-06,9.5034e-01,9.4912e-01,1
frozen_lab_nm,3.162e-14,1e+03,6.257e-06,9.5730e-01,9.5030e-01,1
frozen_lab_nm,1.000e-13,0.1,6.257e-06,9.9818e-01,9.9818e-01,1
frozen_lab_nm,1.000e-13,1,6.257e-06,9.7854e-01,9.7853e-01,1
frozen_lab_nm,1.000e-13,10,6.257e-06,9.5034e-01,9.5021e-01,1
frozen_lab_nm,1.000e-13,100,6.257e-06,9.5730e-01,9.5620e-01,1
frozen_lab_nm,1.000e-13,1e+03,6.257e-06,2.2996e-01,2.2230e-01,1
frozen_lab_nm,3.162e-13,0.1,6.257e-06,9.7854e-01,9.7854e-01,1
frozen_lab_nm,3.162e-13,1,6.257e-06,9.5034e-01,9.5032e-01,1
frozen_lab_nm,3.162e-13,10,6.257e-06,9.5730e-01,9.5719e-01,1
