mode,family_semantics,severity,threshold_fraction,certificate_correlation,samples,certification_rescue_rate,family_certification_resilience_rate,family_internal_loss_rate,family_internal_survival_rate,mean_certified_family_member_count,metric_artifact_risk_rate
orientation_degradation,at_least_k,0.5,1.0,0.25,2400,0.0,0.43583299999999997,0.564167,0.43583299999999997,0.43583299999999997,0.0
orientation_degradation,at_least_k,0.5,1.0,0.5,2400,0.0,0.555417,0.444583,0.555417,0.555417,0.0
orientation_degradation,at_least_k,0.5,1.0,0.75,2400,0.0,0.358333,0.641667,0.358333,0.358333,0.0
orientation_degradation,at_least_k,0.5,1.0,1.0,2400,0.0,0.475,0.525,0.475,0.475,0.0
orientation_degradation,at_least_k,0.75,0.25,0.0,2400,0.319167,0.510417,0.489583,0.510417,1.26,0.0
orientation_degradation,at_least_k,0.75,0.25,0.25,2400,0.277917,0.534583,0.465417,0.534583,1.28375,0.0
orientation_degradation,at_least_k,0.75,0.25,0.5,2400,0.168333,0.4725,0.5275,0.4725,1.410417,0.0
orientation_degradation,at_least_k,0.75,0.25,0.75,2400,0.0975,0.422083,0.577917,0.422083,1.49625,0.0
orientation_degradation,at_least_k,0.75,0.25,1.0,2400,0.0,0.258333,0.741667,0.258333,1.376667,0.0
orientation_degradation,at_least_k,0.75,0.5,0.0,2400,0.300833,0.47541700000000003,0.524583,0.47541700000000003,0.9066669999999999,0.0
orientation_degradation,at_least_k,0.75,0.5,0.25,2400,0.195833,0.48625,0.51375,0.48625,0.95125,0.0
orientation_degradation,at_least_k,0.75,0.5,0.5,2400,0.154167,0.45375,0.54625,0.45375,1.025417,0.0
orientation_degradation,at_least_k,0.75,0.5,0.75,2400,0.060833,0.41375,0.58625,0.41375,1.111667,0.0
orientation_degradation,at_least_k,0.75,0.5,1.0,2400,0.0,0.258333,0.741667,0.258333,1.034583,0.0
orientation_degradation,at_least_k,0.75,0.75,0.0,2400,0.080417,0.314167,0.685833,0.314167,0.409167,0.0
orientation_degradation,at_least_k,0.75,0.75,0.25,2400,0.061667,0.32125,0.67875,0.32125,0.419167,0.0
orientation_degradation,at_least_k,0.75,0.75,0.5,2400,0.046667,0.3575,0.6425,0.3575,0.479583,0.0
orientation_degradation,at_least_k,0.75,0.75,0.75,2400,0.038333,0.369167,0.630833,0.369167,0.528333,0.0
orientation_degradation,at_least_k,0.75,0.75,1.0,2400,0.0,0.258333,0.741667,0.258333,0.486667,0.0
orientation_degradation,at_least_k,0.75,1.0,0.0,2400,0.0,0.23,0.77,0.23,0.23,0.0
orientation_degradation,at_least_k,0.75,1.0,0.25,2400,0.0,0.250833,0.749167,0.250833,0.250833,0.0
orientation_degradation,at_least_k,0.75,1.0,0.5,2400,0.0,0.303333,0.696667,0.303333,0.303333,0.0
orientation_degradation,at_least_k,0.75,1.0,0.75,2400,0.0,0.34625,0.65375,0.34625,0.34625,0.0
orientation_degradation,at_least_k,0.75,1.0,1.0,2400,0.0,0.258333,0.741667,0.258333,0.258333,0.0
orientation_degradation,at_least_k,1.0,0.25,0.0,2400,0.0,0.0,1.0,0.0,0.0,0.0
orientation_degradation,at_least_k,1.0,0.25,0.25,2400,0.0,0.0,1.0,0.0,0.0,0.0
orientation_degradation,at_least_k,1.0,0.25,0.5,2400,0.0,0.0,1.0,0.0,0.0,0.0
orientation_degradation,at_least_k,1.0,0.25,0.75,2400,0.0,0.0,1.0,0.0,0.0,0.0
orientation_degradation,at_least_k,1.0,0.25,1.0,2400,0.0,0.0,1.0,0.0,0.0,0.0
orientation_degradation,at_least_k,1.0,0.5,0.0,2400,0.0,0.0,1.0,0.0,0.0,0.0
orientation_degradation,at_least_k,1.0,0.5,0.25,2400,0.0,0.0,1.0,0.0,0.0,0.0
orientation_degradation,at_least_k,1.0,0.5,0.5,2400,0.0,0.0,1.0,0.0,0.0,0.0
orientation_degradation,at_least_k,1.0,0.5,0.75,2400,0.0,0.0,1.0,0.0,0.0,0.0
orientation_degradation,at_least_k,1.0,0.5,1.0,2400,0.0,0.0,1.0,0.0,0.0,0.0
orientation_degradation,at_least_k,1.0,0.75,0.0,2400,0.0,0.0,1.0,0.0,0.0,0.0
orientation_degradation,at_least_k,1.0,0.75,0.25,2400,0.0,0.0,1.0,0.0,0.0,0.0
orientation_degradation,at_least_k,1.0,0.75,0.5,2400,0.0,0.0,1.0,0.0,0.0,0.0
orientation_degradation,at_least_k,1.0,0.75,0.75,2400,0.0,0.0,1.0,0.0,0.0,0.0
